,MPG,FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FTM,FTA,FGM,FGA
M. Kleber,26.766666666666666,0.422,0.919,1.7,7.1,5.2,1.4,0.5,0.7,-0.6,0.7,0.7,2.3,5.5
I. Zubac,22.316666666666666,0.652,0.789,0.0,9.0,7.2,1.3,0.3,0.9,-1.1,1.9,2.4,3.6,5.5
J. Patton,18.85,0.414,0.75,0.7,5.4,3.8,1.1,0.9,1.1,-0.3,0.2,0.3,2.2,5.4
E. Sumner,16.2,0.523,0.8190000000000001,0.7,7.5,1.8,0.9,0.6,0.2,-1.0,1.3,1.6,2.8,5.3
A. Caruso,21.016666666666666,0.436,0.645,0.9,6.4,2.9,2.8,1.1,0.3,-1.3,0.8,1.3,2.3,5.3
S. Dinwiddie,21.316666666666666,0.375,1.0,0.7,6.7,4.3,3.0,0.7,0.3,-1.7,2.0,2.0,2.0,5.3
N. Bjelica,16.183333333333334,0.454,0.725,0.7,6.5,3.4,1.9,0.4,0.1,-0.9,1.0,1.4,2.4,5.3
S. Adams,27.66666666666667,0.614,0.444,0.0,7.6,8.9,1.9,0.9,0.7,-1.3,1.0,2.3,3.3,5.3
D. Jones Jr.,22.75,0.484,0.648,0.7,6.8,3.5,0.8,0.6,0.9,-0.6,1.0,1.6,2.5,5.2
T. Mann,,,,,,,,,,,,,,
J. Teague,17.283333333333335,0.433,0.848,0.7,6.7,1.6,2.4,0.6,0.2,-1.2,1.6,1.9,2.2,5.2
X. Tillman,18.366666666666667,0.5589999999999999,0.642,0.4,6.6,4.3,1.3,0.7,0.6,-0.8,0.6,0.9,2.8,5.1
M. Wagner,16.016666666666666,0.454,0.816,0.7,6.9,3.2,1.1,0.6,0.4,-1.0,1.6,1.9,2.3,5.1
S. Doumbouya,15.45,0.379,0.703,0.5,5.1,2.6,0.8,0.4,0.2,-0.8,0.8,1.1,1.9,5.0
R. Williams,18.95,0.721,0.616,0.0,8.0,6.9,1.8,0.8,1.8,-1.0,0.9,1.4,3.6,5.0
C. Metu,13.6,0.508,0.721,0.4,6.3,3.1,0.8,0.4,0.5,-0.8,0.9,1.2,2.5,5.0
D. Wade,19.266666666666666,0.431,0.769,1.2,6.0,3.4,1.2,0.6,0.3,-0.5,0.5,0.6,2.1,4.9
A. Lamb,17.25,0.39,0.857,1.0,5.5,2.9,1.0,0.3,0.2,-0.8,0.8,0.9,1.9,4.9
